ticker,return_1y,return_6m,return_1m,volatility,momentum,ma_50,ma_200,sector,market_cap,price,dividend,avg_volume
BRITANNIA.NS,0.2821621791580631,0.039320054945054944,0.032847026704206125,0.012427642769779023,154.5,5989.72,5820.2239672851565,Consumer Defensive,1457253122048,6050.0,1.22,290447
MAPMYINDIA.NS,-0.39814821451190957,-0.36998720984252315,-0.21621619373701403,0.019295852556613795,-438.39990234375,1409.280009765625,1674.3923889160155,Technology,56615030784,1034.6,0.33,119749
CCL.NS,0.7685871685012234,0.1705081525229328,0.05110544689566801,0.025613712181529767,48.91571044921875,971.2556298828125,907.3448318481445,Consumer Defensive,135495704576,1017.25,0.75,286711
CESC.NS,0.2276760037216646,0.08295885358418675,0.06193395594664952,0.018459198850530684,3.730010986328125,157.5670001220703,163.47411064147948,Utilities,211189891072,159.32,3.76,1572680
CGPOWER.NS,0.24947680097061128,0.04233584153593732,0.23636673346169823,0.020687092796383148,161.636962890625,642.8765112304687,687.5406155395508,Industrials,1137011851264,721.85,0.18,3753540
CRISIL.NS,-0.021762763184177313,-0.11034853794366975,-0.05201434201169023,0.018911592205325223,-326.5,4566.116025390625,4958.183608398437,Financial Services,323503947776,4420.0,2.5,57607
CAMPUS.NS,-0.022117067638929202,-0.018972054227006232,0.02310885342508739,0.016279908103493394,8.25,261.54799896240235,271.65568870544433,Consumer Cyclical,79102803968,258.85,0.23,355709
CANFINHOME.NS,0.5434471758149876,0.22695546064569008,-0.06284523122305759,0.01633411381467386,-45.550048828125,913.272998046875,826.2594696044922,Financial Services,116388012032,873.85,1.58,212217
CANBK.NS,0.9511474330069906,0.5141096401950268,0.06640895853018797,0.01696131815352255,0.0800018310546875,151.52399993896483,128.4294356918335,Financial Services,1424727343104,157.07,2.52,26205075
CAPLIPOINT.NS,-0.10436307031416411,-0.18078481504870322,-0.03213258876797619,0.022885868337266645,-109.2999267578125,1802.1139990234376,1997.2291430664063,Healthcare,130724577280,1716.9,0.35,68227
CGCL.NS,0.0008218670816446098,-0.11089047896760638,-0.06321839230159645,0.026165914050252367,-15.019989013671875,176.5392007446289,181.09633361816407,Financial Services,158360928256,164.59,0.12,1064832
CARBORUNIV.NS,-0.009733147785362481,-0.07531324295019291,0.05953321027957376,0.02032495041884334,21.03729248046875,824.9641748046874,903.1877954101562,Industrials,158704599040,833.6,0.48,173645
CASTROLIND.NS,-0.09165187633715972,-0.050195173710598257,0.017268574748679492,0.015935892064867344,2.0500030517578125,187.08159973144532,199.6352954864502,Energy,185262620672,187.3,5.6,2692412
CEATLTD.NS,0.42253760791953054,0.1605261658471096,-0.03370728033980055,0.0224386552969716,-158.39990234375,3816.51001953125,3671.2586450195313,Consumer Cyclical,146730172416,3637.2,0.81,127201
CENTRALBK.NS,-0.09581489104682905,0.17569050593082683,0.07293613465076106,0.019065506164819886,1.7874183654785156,37.53542694091797,37.2933203125,Financial Services,363517542400,40.14,1.95,7627181
CDSL.NS,0.12310261639339436,-0.09765513423320622,-0.0264353155844091,0.02238952861075333,-149.0,1389.6240014648438,1539.357192993164,Financial Services,268565004288,1285.0,0.96,1621372
CENTURYPLY.NS,0.0007352331211725548,0.03078675478616352,-0.06382183201299309,0.017304803324762377,4.79998779296875,784.9770007324219,770.8318395996093,Basic Materials,167107428352,752.15,0.13,82373
CERA.NS,-0.07405592410287268,-0.20809988794621417,-0.0106,0.017874301183876926,-249.0,5130.226005859375,5983.208332519531,Industrials,63792259072,4947.9,1.31,16634
CHALET.NS,0.11654931974718878,-0.1906315890888816,-0.06244263504571086,0.01838923088704044,-60.5,862.8409973144531,912.7464309692383,Consumer Cyclical,178819661824,816.7,0.24,156490
CHAMBLFERT.NS,-0.19063050386260494,-0.14679816814624583,0.033084084539710124,0.0183932909367325,15.75,452.04999938964846,500.7155635070801,Basic Materials,182617309184,455.8,2.18,1022114
CHENNPETRO.NS,1.0012480326896616,0.4460798768024237,0.0776514069024804,0.029430749029770723,73.3499755859375,862.4599987792968,790.1152716064453,Energy,139044896768,932.85,0.55,1149062
CHOICEIN.NS,0.5357920011887092,-0.06878140703517588,-0.03174186948003754,0.01792206065676884,-81.4000244140625,792.2899987792969,769.972998046875,Financial Services,165178228736,740.7,,623013
